EdLevel,YearsCodePro,LanguageWorkedWith,DevType,ConvertedComp,Employment
Some college/university study without earning a degree,6,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,"Engineer, site reliability",95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;Python;SQL;Other(s):,"Engineer, data",67178,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;Java;Scala,"Developer, back-end",114508,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala;SQL;TypeScript,System administrator,64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,C#;JavaScript,Database administrator,62598,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Go;JavaScript;Rust;SQL;TypeScript,"Developer, back-end",38169,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Java;SQL;Swift,System administrator,100767,Employed full-time
Some college/university study without earning a degree,5,HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, back-end",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL,DevOps specialist,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C++;HTML/CSS;JavaScript;SQL,"Developer, full-stack",95423,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",18,Bash/Shell/PowerShell;C;C++;JavaScript;Objective-C;Python;SQL,System administrator,133440,Employed full-time
Some college/university study without earning a degree,4,Bash/Shell/PowerShell;Elixir;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;Swift,"Developer, full-stack",91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Assembly;C;C++;Java;Python;SQL,Data or business analyst,55193,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",23,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Academic researcher,83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,DevOps specialist,76339,Employed full-time
Some college/university study without earning a degree,6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,System administrator,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Assembly;C;C++;Java;Python;SQL,System administrator,55193,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C#;Java;PHP;Python;SQL,"Developer, full-stack",120000,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C#;HTML/CSS;JavaScript;SQL,"Developer, desktop or enterprise applications",72522,Employed full-time
Some college/university study without earning a degree,5,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript,"Developer, full-stack",74812,Employed full-time
Associate degree,8,C;C++;HTML/CSS;Java;JavaScript;TypeScript,DevOps specialist,45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C#;HTML/CSS;Java;JavaScript;SQL;VBA,"Developer, full-stack",57254,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C#;HTML/CSS;JavaScript;SQL;TypeScript,Database administrator,40459,Employed full-time
NA,2,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript,System administrator,34352,Employed full-time
Some college/university study without earning a degree,25,Bash/Shell/PowerShell;JavaScript;Objective-C;Ruby;Swift;TypeScript;Other(s):,System administrator,91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,"Developer, QA or test",70995,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;SQL,Data or business analyst,68705,Employed full-time
"Other doctoral degree (Ph.D, Ed.D., etc.)",12,Bash/Shell/PowerShell;JavaScript;Kotlin;Objective-C;Ruby;Scala;SQL;Swift;TypeScript,"Developer, full-stack",99240,Employed full-time
Associate degree,11,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,"Developer, back-end",76339,Employed full-time
NA,3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, front-end",61071,Employed full-time
Some college/university study without earning a degree,3,HTML/CSS;JavaScript;PHP;SQL,Data or business analyst,51910,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;Ruby,Database administrator,64124,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,"Developer, full-stack",91600,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL;TypeScript,Designer,106874,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",11,HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Rust;TypeScript,Database administrator,122142,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,HTML/CSS;Java;JavaScript;Swift;TypeScript,"Developer, front-end",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Bash/Shell/PowerShell;Erlang;Go;Java;JavaScript;Python,"Engineer, data",103057,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Go;HTML/CSS;Java;JavaScript;TypeScript,Educator,106874,Employed full-time
Some college/university study without earning a degree,8,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,"Developer, back-end",83972,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript;Other(s):,DevOps specialist,76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift,"Developer, front-end",61071,Employed full-time
Some college/university study without earning a degree,32,C++;C#;HTML/CSS;JavaScript,"Developer, game or graphics",110691,Employed full-time
Some college/university study without earning a degree,31,Bash/Shell/PowerShell;C;C++;C#;SQL,"Developer, full-stack",72522,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,Java;Ruby,"Developer, full-stack",95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,Designer,62840,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",28,Bash/Shell/PowerShell;Go;JavaScript,"Developer, full-stack",106874,Employed full-time
Associate degree,21,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, desktop or enterprise applications",91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift,"Developer, full-stack",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",25,Bash/Shell/PowerShell;HTML/CSS;JavaScript,"Developer, front-end",115271,Employed full-time
Some college/university study without earning a degree,35,Bash/Shell/PowerShell;C#;Clojure;F#;Go;HTML/CSS;Java;JavaScript;SQL;VBA;Other(s):,Database administrator,68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,Bash/Shell/PowerShell;HTML/CSS;Java;SQL;VBA,"Developer, back-end",61071,Employed full-time
NA,4,C#;Go;HTML/CSS;SQL;TypeScript,"Developer, full-stack",59544,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;SQL,"Developer, back-end",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",36,Bash/Shell/PowerShell;C++;C#;Java;Python;R;SQL,Educator,93896,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, full-stack",45803,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,"Developer, front-end",114508,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL,Data scientist or machine learning specialist,61071,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",32,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;Other(s):,Scientist,114508,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,C++;C#;Go;HTML/CSS;Rust;TypeScript,DevOps specialist,95423,Employed full-time
Associate degree,5,C#;HTML/CSS;JavaScript;PHP,"Developer, full-stack",61050,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,C#;HTML/CSS;JavaScript;Python,"Developer, full-stack",55727,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift;Other(s):,"Developer, full-stack",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, desktop or enterprise applications",122142,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",24,C#;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, game or graphics",122142,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",29,Bash/Shell/PowerShell;C#;Java;JavaScript;SQL,"Developer, full-stack",122142,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",22,Bash/Shell/PowerShell;Java,DevOps specialist,122142,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;Python,"Developer, front-end",95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;Elixir;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL,"Developer, back-end",87789,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",12,C;C++;HTML/CSS;JavaScript;PHP;Python;Other(s):,"Developer, embedded applications or devices",70231,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",28,C++;C#;HTML/CSS;JavaScript;SQL;TypeScript;WebAssembly,"Developer, front-end",137409,Employed full-time
Some college/university study without earning a degree,10,Bash/Shell/PowerShell;SQL;VBA,"Developer, desktop or enterprise applications",46566,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Java;SQL;Swift,"Developer, front-end",100767,Employed full-time
Associate degree,1,Assembly;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Ruby;Other(s):,"Developer, back-end",33207,Employed full-time
Associate degree,10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",65651,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Scala;SQL;TypeScript,"Developer, desktop or enterprise applications",64888,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;JavaScript;SQL,Database administrator,99240,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,HTML/CSS;Java;JavaScript;SQL,Database administrator,118325,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20,Go;HTML/CSS;JavaScript;Python;TypeScript,System administrator,70231,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Developer, desktop or enterprise applications",106874,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Product manager,78629,Employed full-time
Associate degree,7,Bash/Shell/PowerShell;HTML/CSS;Java;Python;SQL,"Developer, back-end",43269,Employed full-time
Associate degree,2,C#;HTML/CSS;Java,"Developer, mobile",42750,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift;TypeScript,"Developer, full-stack",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",63361,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C;C++;Go;HTML/CSS;Java;JavaScript;Ruby;TypeScript,Product manager,105347,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",4,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",45803,Employed full-time
Associate degree,26,C;C++;Java;JavaScript;Other(s):,"Developer, game or graphics",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript;WebAssembly;Other(s):,"Developer, full-stack",67178,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,Bash/Shell/PowerShell;JavaScript;PHP;SQL;TypeScript,"Developer, QA or test",122142,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Ruby,"Developer, back-end",83972,Employed full-time
Some college/university study without earning a degree,4,Bash/Shell/PowerShell;Dart;Go;JavaScript,"Developer, back-end",19451,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2,HTML/CSS;JavaScript;Python;SQL;TypeScript,Database administrator,47712,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL;VBA,Database administrator,51910,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Erlang;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, back-end",95423,Employed full-time
"Professional degree (JD, MD, etc.)",6,C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Swift,"Developer, game or graphics",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C++;Objective-C;Python;TypeScript,"Developer, back-end",68705,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22,C++;C#;Go;HTML/CSS;Rust;TypeScript,"Developer, front-end",95423,Employed full-time
Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, embedded applications or devices",87789,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, front-end",72140,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,Assembly;Bash/Shell/PowerShell;C;C++;C#;Clojure;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript,Engineering manager,91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,Assembly;C#;HTML/CSS;Python;SQL;Other(s):,"Developer, front-end",35879,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",5,Bash/Shell/PowerShell;C#;R,"Developer, desktop or enterprise applications",91606,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C#;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,"Developer, full-stack",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, QA or test",40459,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,DevOps specialist,72522,Employed full-time
Some college/university study without earning a degree,24,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, desktop or enterprise applications",87789,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,C#;HTML/CSS;JavaScript,Data or business analyst,56490,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Scala;SQL;TypeScript,"Developer, back-end",129775,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP;SQL,"Developer, full-stack",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Kotlin;Scala;SQL,Database administrator,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,C;C++;C#;HTML/CSS;Java;Objective-C;Python;SQL;VBA,"Developer, mobile",96187,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,C++;HTML/CSS;JavaScript;SQL,Designer,95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",30,HTML/CSS;JavaScript,"Developer, full-stack",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",21,C;Go;HTML/CSS;JavaScript;Rust,"Developer, back-end",190846,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Bash/Shell/PowerShell;C++;C#;F#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, QA or test",64888,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;Other(s):,"Developer, full-stack",58781,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",59544,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24,C#;JavaScript;Python;SQL;TypeScript,Engineering manager,95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Bash/Shell/PowerShell;C#;HTML/CSS;PHP;SQL;TypeScript;VBA,"Developer, embedded applications or devices",44276,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",20,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",40459,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2,Bash/Shell/PowerShell;C;C++;Python,"Developer, embedded applications or devices",39696,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",2,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP,"Developer, full-stack",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C;C++;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA,"Developer, QA or test",53437,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",14,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript;VBA,Data scientist or machine learning specialist,129775,Employed full-time
Associate degree,2,PHP,"Developer, back-end",55628,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",6,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Ruby;Swift;Other(s):,"Developer, QA or test",68705,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,C++,"Developer, game or graphics",51147,Employed full-time
Associate degree,3,C#;HTML/CSS;JavaScript;SQL,Data or business analyst,35497,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",5,Go;HTML/CSS;Java;JavaScript;PHP;SQL,"Developer, full-stack",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C#;HTML/CSS;SQL;Other(s):,Data or business analyst,50002,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",24,Bash/Shell/PowerShell;C#,"Developer, back-end",83972,Employed full-time
Associate degree,7,Bash/Shell/PowerShell;C#;Java;SQL;TypeScript;Other(s):,DevOps specialist,41986,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;SQL,Database administrator,50388,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL;TypeScript,Database administrator,112000,Employed full-time
Associate degree,3,C#;HTML/CSS;JavaScript;SQL,"Developer, front-end",45803,Employed full-time
Primary/elementary school,13,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,System administrator,76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",17,Bash/Shell/PowerShell;C;C++;Java;Python,"Developer, back-end",95423,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,Bash/Shell/PowerShell;C;C++;C#;Python;Rust;SQL,DevOps specialist,90079,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Java;SQL,"Developer, full-stack",56490,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C;Go;HTML/CSS;JavaScript;PHP;Python;SQL,"Engineer, site reliability",89316,Employed full-time
NA,7,C#;HTML/CSS;SQL;VBA;Other(s):,Data or business analyst,46185,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",7,C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack",58781,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",18,Assembly;Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Other(s):,"Engineer, site reliability",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",3,Bash/Shell/PowerShell;C;C++;C#;Python,"Developer, game or graphics",76339,Employed full-time
Some college/university study without earning a degree,32,C++;C#;HTML/CSS;JavaScript,"Developer, desktop or enterprise applications",110691,Employed full-time
"Professional degree (JD, MD, etc.)",18,C#;SQL,DevOps specialist,51147,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL,"Developer, back-end",73284,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, full-stack",47712,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C++;HTML/CSS;PHP;SQL,"Developer, QA or test",36642,Employed full-time
Associate degree,11,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Ruby;SQL;Other(s):,Designer,67178,Employed full-time
Some college/university study without earning a degree,16,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift;TypeScript,Senior executive/VP,167945,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",11,C#;JavaScript,"Developer, full-stack",62598,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",13,Bash/Shell/PowerShell;Java;Python;SQL,Database administrator,91606,Employed full-time
Some college/university study without earning a degree,10,Bash/Shell/PowerShell;C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Data scientist or machine learning specialist,49620,Employed full-time
Associate degree,2,C#;Go;Java;JavaScript;TypeScript,"Engineer, data",46719,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Developer, back-end",76339,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;C;Python;SQL,DevOps specialist,87789,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",35,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Objective-C;Ruby;SQL;Swift,Engineering manager,122142,Employed full-time
Some college/university study without earning a degree,7,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;SQL,"Developer, front-end",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",28,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;Python;Scala;SQL,"Engineer, site reliability",103057,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA,"Developer, full-stack",61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,DevOps specialist,60307,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",7,Bash/Shell/PowerShell;C++;Go;JavaScript;Python;Rust;Scala,"Engineer, site reliability",305354,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;Go;JavaScript;Python;Ruby,"Developer, back-end",114508,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",15,Bash/Shell/PowerShell;C;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;Other(s):,Academic researcher,45803,Employed full-time
Some college/university study without earning a degree,24,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;R;SQL;Other(s):,"Developer, full-stack",282452,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;R;SQL;VBA,"Developer, front-end",51910,Employed full-time
NA,6,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",111756,Employed full-time
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL;TypeScript,"Developer, full-stack",112000,Employed full-time
"Master’s degree (MA, MS, M.Eng., MBA, etc.)",8,C;F#;HTML/CSS;JavaScript;Python;TypeScript;Other(s):,Data scientist or machine learning specialist,61071,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;VBA,"Developer, full-stack",41986,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",13,Bash/Shell/PowerShell;Go;JavaScript;Python;Ruby,"Developer, QA or test",114508,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",9,C++;C#;HTML/CSS;JavaScript;PHP;SQL;Other(s):,"Developer, full-stack",45803,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",12,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Rust,"Engineer, data",106874,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",4,C++;C#;HTML/CSS;JavaScript,"Developer, back-end",83972,Employed full-time
"Bachelor’s degree (BA, BS, B.Eng., etc.)",10,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;SQL,"Engineer, site reliability",91606,Employed full-time
